SSN,M3 Ca,M3 K,M3 Al,M3 P,M3 S,PH,Psa asand,Psa asilt,Psa aclay,Volfr,Awc1,Lshrinkpct,Flash2000_N_ppm,Acidified carbon,pH,Leco_N_ppm,C % Org,ICP OES K mg/kg ,ICP OES P mg/kg ,P,K,S,Ca,Mg,Cu,Cl,Zn,Fe,Mn,Mo,Latitude,Longitude,Cluster,Depth,Country,Cultivated
icr074510,531.0,48.6,388.0,1.2,4.17,6.42,91.1,3.535,5.365,1.227,0.055127999999999996,0.0,175.97128,0.24263274699999998,6.45,200.0,0.27,572.5999897,23.13698291,50.6,5224.7,45.7,606.8,6640.5,3.0,72.2,3.4,3928.3,30.4,184.5,-21.7232,26.4957,12,sub,Botswana,unknown
icr074581,855.0,212.0,308.0,2.56,8.77,7.38,90.395,5.055,4.545,1.1395,0.05558300000000001,0.0,350.85818,0.440607294,5.825,400.0,0.55,1429.398648,31.83394325,50.6,6582.1,45.7,1296.3,6034.9,3.6,76.8,5.8,5161.3,40.1,184.5,-21.730999999999998,26.5229,16,sub,Botswana,unknown
icr006454,3183.0,1068.0,946.0,15.42,9.0,7.82,94.82933333,4.702,0.469,1.113,0.106707,7.857142999999999,469.8526,0.9784393709999999,7.85,800.0,0.94,8517.919223,96.57513082,50.6,15926.0,45.7,4483.2,5575.0,9.8,116.2,20.3,11686.5,201.0,184.5,-6.12600994,36.44020081,1,top,Tanzania,True
icr006455,4679.0,1355.0,946.8,11.56,9.793,8.175,91.6,7.805333332999999,0.595,1.1205,0.087585,6.857142999999999,488.53810999999996,0.788849115,8.03,600.0,0.7,10859.30378,117.42313859999999,50.6,20421.4,45.7,9015.5,4032.6,12.4,200.7,26.6,15915.4,256.6,184.5,-6.12600994,36.44020081,1,sub,Tanzania,True
icr006474,281.8,455.3,1002.0,7.978,15.61,4.966,97.73299999999999,2.014333333,0.252666667,1.145,0.018466999999999997,2.857143,259.10654,0.549697042,5.01,500.0,0.57,1343.124117,87.04007317,50.6,12817.2,45.7,899.8,5575.0,9.3,117.7,14.4,8879.9,79.2,184.5,-6.08874989,36.43598175,2,top,Tanzania,False
icr006492,1036.0,394.8,822.5,5.148,10.61,6.614,92.5,6.893333332999999,0.6063333329999999,1.188,0.065974,2.857143,719.2195,0.893203477,6.78,900.0,0.98,2999.24076,150.93646299999997,50.6,22145.6,45.7,7651.7,5575.0,14.4,103.3,21.6,14894.0,193.8,184.5,-6.0639400000000006,36.4405,3,top,Tanzania,False
icr006510,812.6,450.2,865.2,9.775,13.46,6.6129999999999995,94.27433333,5.276,0.449666667,1.054,0.026123,2.857143,938.54206,0.934304357,6.81,900.0,0.98,1859.9939920000002,134.88720790000002,50.6,11791.0,45.7,4386.9,5575.0,9.4,466.2,17.3,9902.1,173.5,184.5,-6.04692984,36.44385910000001,4,top,Tanzania,False
icr006531,670.2,589.8,1195.0,1.976,14.1,6.2989999999999995,96.55066667,3.136333333,0.313,1.0735,0.027819,5.714286,446.62420000000003,0.482543161,5.98,500.0,0.4,2790.665706,137.3200044,50.6,11487.8,45.7,1464.1,5575.0,22.1,279.4,24.4,22779.5,234.1,184.5,-6.11749,36.4577,5,sub,Tanzania,False
icr006551,1595.0,731.0,1167.0,3.8489999999999998,6.204,6.8839999999999995,93.30633333,6.267666667,0.42566666700000005,1.123,0.065788,7.142857000000001,523.67137,0.574352364,6.62,200.0,0.27,2114.147015,63.71831729,50.6,14415.1,45.7,3028.0,5575.0,16.6,135.9,31.1,19464.1,258.2,184.5,-6.08820009,36.46326065,6,sub,Tanzania,False
icr006571,834.7,420.5,1098.0,3.764,12.55,6.644,96.76,2.92,0.320333333,1.111,0.019527000000000003,3.571429,377.19385,0.544650733,6.3,500.0,0.48,2639.671114,111.4415085,50.6,13012.3,45.7,2300.6,5575.0,10.6,168.0,18.5,13695.4,173.2,184.5,-6.06997013,36.46458817,7,sub,Tanzania,False
icr006626,310.7,376.9,793.2,10.45,11.46,6.06,99.38600000000001,0.46399999999999997,0.15,1.1275,0.035322000000000006,0.714286,455.58811,0.454935551,5.89,400.0,0.43,2003.258263,131.62831129999998,50.6,16345.4,45.7,6723.5,5575.0,7.6,149.2,16.4,10916.5,120.1,184.5,-6.09622,36.4863,10,top,Tanzania,False
icr006627,501.3,474.2,1189.0,7.947999999999999,12.44,5.688,95.71366667,3.8289999999999997,0.45733333299999995,1.141,0.026764999999999997,4.928571,527.5260999999999,0.457810541,5.56,400.0,0.38,2283.9153100000008,142.7728868,50.6,14464.6,45.7,5961.5,5575.0,10.7,211.1,22.5,15934.1,135.7,184.5,-6.09622,36.4863,10,sub,Tanzania,False
icr006684,612.1,457.6,940.8,5.355,10.18,6.615,99.07333333,0.657666667,0.26899999999999996,1.0859999999999999,0.0298,7.214286,611.71785,0.730446259,6.59,700.0000000000001,0.7,2126.131284,158.10198480000003,50.6,9897.1,45.7,7565.2,5575.0,11.9,187.6,17.4,15419.0,252.9,184.5,-6.12214,36.5064,13,top,Tanzania,False
icr006704,451.3,456.1,1006.0,8.347999999999999,10.22,6.314,97.92133333,1.7643333330000002,0.314,1.1535,0.031508999999999995,0.714286,337.85847,0.56792597,6.58,700.0000000000001,0.67,3269.795999,168.28680119999999,50.6,14261.7,45.7,7644.6,5575.0,11.2,122.5,22.1,16781.3,256.6,184.5,-6.09060001,36.50844955,14,top,Tanzania,False
icr006725,234.8,340.5,1208.0,4.456,35.99,4.792,96.77566667,2.5069999999999997,0.717333333,1.079,0.020634,4.285714,402.61328,0.39405524700000005,4.84,500.0,0.45,1727.427579,131.552151,50.6,8137.6,45.7,912.9,5575.0,15.0,279.8,17.2,12877.7,81.0,184.5,-6.07987,36.5067,15,sub,Tanzania,False
icr006744,241.5,283.9,899.0,7.4860000000000015,11.61,5.727,95.73666667,3.5903333330000002,0.6729999999999999,1.2919999999999998,0.064263,1.4285709999999998,290.58048,0.41008506200000006,5.25,300.0,0.36,1180.173825,69.20471591,50.6,28079.2,45.7,4344.6,5575.0,3.8,97.4,9.7,6075.6,83.0,184.5,-6.0537300000000025,36.5135,16,top,Tanzania,False
icr006745,117.0,200.1,1073.0,6.129,16.7,4.945,89.48233333,9.222333333,1.295,1.3095,0.042194999999999996,2.142857,66.20635,0.265945812,4.98,300.0,0.28,1305.26152,63.20804009,50.6,26626.5,45.7,3580.3,5575.0,4.4,100.8,11.5,7165.1,49.5,184.5,-6.0537300000000025,36.5135,16,sub,Tanzania,False
icr007791,694.9,275.8,1749.0,3.699,15.35,4.966,82.34,10.44,7.225,0.9309999999999999,0.08039299999999999,7.857142999999999,669.18891,0.8980860709999999,4.96,900.0,1.0,4901.7927869999985,228.49414219999997,50.6,18073.5,45.7,4660.3,5575.0,16.6,147.2,36.0,26968.8,271.9,184.5,-5.31900215,37.45064163,4,sub,Tanzania,False
icr007987,1015.0,450.8,1574.0,4.456,10.33,6.2379999999999995,90.105,4.81,5.085,0.9285,0.084829,6.428571,812.8773,0.9353316429999999,6.16,800.0,0.92,3328.323756,256.7188402,50.6,13117.4,45.7,3762.7,5575.0,13.1,196.5,25.2,26675.9,164.8,184.5,-5.35679007,37.50985718,14,top,Tanzania,True
icr010019,109.0,22.81,2444.0,2.344,7.622000000000001,4.9319999999999995,90.44866667,7.049333333,2.502333333,0.9995,0.127605,7.142857000000001,809.2548400000001,1.691297174,5.825,1000.0,2.05,154.3447351,462.2767796,251.2,428.9,45.7,119.2,5575.0,35.9,129.1,39.3,57186.0,980.5,184.5,-11.10610008,35.14979935,6,sub,Tanzania,False
icr010535,1176.0,86.0,758.0,1.47,14.0,7.36,37.82,35.555,26.62,0.9365,0.183025,3.571429,515.23134,0.6812959909999999,7.19,600.0,0.77,2369.698796,58.24448514,50.6,19213.6,45.7,2678.1,5575.0,18.0,108.2,20.6,32896.7,390.3,184.5,14.82578833,-10.99383,11,top,Mali,True
icr010536,2135.0,64.0,829.0,0.45,329.0,7.87,77.3,15.035,7.665,1.0035,0.20358800000000002,7.142857000000001,323.51842,0.40559088200000004,7.74,400.0,0.45,3016.976548,36.72860058,50.6,17352.7,100.1,4255.8,5575.0,22.0,123.1,24.4,45104.2,661.9,184.5,14.82578833,-10.99383,11,sub,Mali,True
icr011941,613.3,47.91,401.5,4.03,6.54,6.705,96.5595,3.293,0.1475,1.1825,0.039238,0.0,224.0287,0.315940221,6.16,300.0,0.36,1003.816927,51.34245313,50.6,37563.6,45.7,2702.4,5575.0,3.0,99.1,7.9,5427.2,92.1,184.5,-3.00733495,33.04496384,7,top,Tanzania,True
icr015592,560.7,34.69,390.3,8.16,6.5889999999999995,6.2929999999999975,78.67,12.46,8.86,1.19,0.187291,0.0,690.5853000000001,0.6875733140000001,6.04,700.0000000000001,0.75,287.1287506,61.65645791,50.6,1733.6,45.7,678.1,5575.0,4.8,128.2,27.6,6356.4,104.9,184.5,6.68232667,-1.25978,9,top,Ghana,False
icr020848,289.6,51.55,242.3,5.079,4.302,5.867999999999999,83.485,9.585,6.935,1.199,0.16136,0.0,415.41578,0.615347445,5.71,300.0,0.56,134.2828221,37.36011225,50.6,6307.5,45.7,502.7,5575.0,3.2,243.3,3.1,2921.2,54.9,184.5,-8.07403278,37.26938248,1,top,Tanzania,False
icr020849,170.6,26.41,178.9,4.232,2.654,6.0470000000000015,92.03,4.34,3.635,1.2665,0.07788300000000001,0.0,176.04451,0.177661099,5.28,100.0,0.21,129.0988124,20.45143117,50.6,5220.6,45.7,302.1,5575.0,2.3,186.6,2.3,1971.3,25.3,184.5,-8.07403278,37.26938248,1,sub,Tanzania,False
icr020868,373.0,33.62,154.5,19.31,2.1,6.382999999999999,93.28,3.06,3.655,1.261,0.052848,0.0,260.65524,0.40939562,6.15,300.0,0.52,113.88498940000001,45.86340065,50.6,4281.3,45.7,371.1,5575.0,2.6,187.0,3.0,2116.4,41.9,184.5,-8.04190826,37.27168274,2,top,Tanzania,False
icr020888,268.5,63.84,414.2,4.954,3.1489999999999996,5.386,89.7,5.815,4.485,1.034,0.122198,0.0,539.44604,0.770907164,5.12,500.0,0.87,299.7725549,61.85967618,50.6,15632.4,45.7,1072.0,5575.0,3.8,126.3,3.3,2923.6,18.4,184.5,-8.02105045,37.27035141,3,top,Tanzania,False
icr020889,330.3,41.56,680.7,1.985,2.62,5.146,90.11,4.965,4.925,1.0535,0.092056,2.857143,337.87996,0.405314505,4.74,400.0,0.46,359.43102210000006,83.72392379,50.6,10602.0,45.7,733.4,5575.0,6.3,55.4,5.4,6260.3,11.6,184.5,-8.02105045,37.27035141,3,sub,Tanzania,False
icr020908,1069.0,226.9,629.2,12.83,4.734,6.638,87.99,6.16,5.85,1.0685,0.138432,1.4285709999999998,641.74335,1.071760952,6.39,700.0000000000001,1.15,1026.00332,171.3515882,50.6,32775.4,45.7,1784.5,5575.0,6.0,65.8,8.5,7245.1,240.0,184.5,-8.00080681,37.27236938,4,top,Tanzania,False
icr020909,431.9,73.94,813.6,10.03,3.66,6.136,90.69,4.185,5.125,1.0925,0.0883,1.4285709999999998,253.40186,0.37576998799999994,6.09,300.0,0.42,988.2802042999999,143.8709494,50.6,30645.0,45.7,805.4,5575.0,4.4,44.7,6.6,6595.1,177.4,184.5,-8.00080681,37.27236938,4,sub,Tanzania,False
icr020947,343.7,67.29,342.5,12.17,4.445,5.723,82.195,10.185,7.615,1.197,0.200008,0.0,433.96220999999997,0.667402476,5.67,400.0,0.71,253.39348650000002,51.90749523,50.6,20788.5,45.7,951.4,5575.0,2.4,94.5,2.3,2335.9,64.8,184.5,-8.04761505,37.295681,6,top,Tanzania,False
icr020970,942.7,76.54,307.6,30.59,3.7969999999999997,6.636,85.67,7.975,6.355,1.1365,0.16206600000000002,0.0,586.35524,0.926950842,6.62,600.0,1.08,831.2324995,167.6637491,50.6,53526.8,45.7,1981.3,5575.0,3.0,82.4,5.3,4363.1,152.8,184.5,-8.02381229,37.29229736,7,top,Tanzania,False
icr020971,406.6,43.99,370.0,15.92,2.2880000000000003,6.477,86.855,6.145,7.0,1.228,0.132726,0.0,227.03813,0.251833171,6.61,200.0,0.3,925.0971179,113.0850178,50.6,55711.4,45.7,1199.5,5575.0,2.2,134.6,3.2,3728.3,90.9,184.5,-8.02381229,37.29229736,7,sub,Tanzania,False
icr020986,641.2,57.06,374.5,21.76,4.381,6.485,86.92,7.815,5.26,1.216,0.138046,0.0,391.63942000000003,0.6617684070000001,6.54,400.0,0.66,558.2958219999998,119.59212995,50.6,30875.8,45.7,960.9,5575.0,2.0,152.2,2.9,1810.6,95.6,184.5,-8.00173283,37.29563904,8,top,Tanzania,False
icr021005,479.3,94.9,778.8,2.053,2.641,6.148,89.595,5.09,5.315,1.1825,0.133438,0.0,332.34403,0.432454109,6.21,300.0,0.48,660.4161283,89.35255216,50.6,34861.5,45.7,525.8,5575.0,6.4,85.1,7.6,10068.0,196.2,184.5,-8.06768513,37.31658554,9,sub,Tanzania,False
icr021023,529.6,172.8,999.8,12.49,5.642,6.1229999999999976,85.375,7.28,7.345,1.119,0.11495899999999999,2.142857,529.9940099999999,0.7948123509999999,6.37,600.0,0.81,492.8347018999999,166.4775721,50.6,12885.6,45.7,578.9,5575.0,7.9,74.1,8.8,12926.7,341.2,184.5,-8.0423584,37.31354523,10,top,Tanzania,False
icr021063,954.9,108.0,513.2,15.37,5.891,6.4179999999999975,90.775,4.62,4.605,1.114,0.100481,0.0,257.90702999999996,0.353836983,6.49,700.0000000000001,1.13,740.9750094,125.68742890000001,50.6,12143.5,45.7,1046.1,5575.0,5.8,73.6,6.0,7762.3,239.7,184.5,-8.00514507,37.31461716,12,top,Tanzania,False
icr021064,418.2,61.31,462.1,3.889,4.05,6.5729999999999995,90.535,3.965,5.5,1.181,0.068147,0.0,775.66072,1.015367121,6.69,300.0,0.42,363.5358848,77.31525407,50.6,10792.5,45.7,627.0,5575.0,5.2,120.2,4.5,7443.5,229.3,184.5,-8.00514507,37.31461716,12,sub,Tanzania,False
icr021084,151.9,20.07,459.4,9.937999999999999,3.1689999999999996,5.58,95.525,2.41,2.07,1.239,0.051151,0.0,184.3805,0.165735595,4.95,200.0,0.21,103.2963749,40.20369494,50.6,1523.1,45.7,253.7,5575.0,2.7,168.9,3.7,1880.7,11.8,184.5,-8.07075501,37.33062744,13,sub,Tanzania,False
icr021103,361.8,57.68,353.0,11.75,4.68,5.681,86.83,6.16,7.01,1.2570000000000001,0.146728,0.0,323.61548,0.48614913200000004,5.75,400.0,0.57,263.3681413,44.89277172,50.6,9514.7,45.7,1433.9,5575.0,3.0,258.2,2.2,2373.8,30.1,184.5,-8.04930496,37.33369827,14,top,Tanzania,False
icr021123,850.1,53.04,265.8,25.09,3.275,6.291,89.9,4.965,5.13,1.239,0.11129800000000001,0.0,377.26337,0.626666784,6.52,300.0,0.59,268.33944219999995,87.05100076,50.6,7629.0,45.7,1274.8,5575.0,3.1,115.6,4.1,2813.3,117.2,184.5,-8.02354813,37.33749771,15,top,Tanzania,False
icr021142,551.9,47.0,371.5,17.15,3.987,6.2829999999999995,89.335,4.935,5.73,1.29,0.099673,2.857143,353.5493799999999,0.46331469700000005,6.35,300.0,0.5,267.0347437,81.87077956,54.8,4953.7,45.7,937.1,5575.0,3.2,111.7,3.3,2855.2,227.6,184.5,-8.00446224,37.32851028,16,sub,Tanzania,False
icr024869,214.0,107.0,693.0,4.59,4.0,6.24,65.66,12.11,22.225,1.209,0.113078,0.0,57.470859999999995,0.37920753700000004,6.2,300.0,0.47,1021.3434699999999,95.15154002,50.6,29777.1,45.7,930.7,5575.0,3.8,124.9,7.5,4934.5,94.5,184.5,-6.92843294,34.1724205,1,sub,Tanzania,False
icr024918,140.0,43.0,339.0,2.42,2.0,6.02,88.545,5.895,5.56,1.31,0.09944299999999999,0.0,42.9673,0.124108367,6.14,100.0,0.18,395.3065328,15.4507086,50.6,49080.0,45.7,6265.3,5575.0,3.7,357.9,4.4,3838.8,40.2,184.5,-6.86510992,34.18169403,4,sub,Tanzania,False
icr024956,474.0,130.0,675.0,5.98,6.0,6.16,92.69,3.755,3.555,1.0805,0.07747000000000001,0.0,219.98807999999997,0.540117025,6.35,400.0,0.65,1002.1006328,70.865498155,50.6,26168.5,45.7,1810.2,5575.0,4.8,109.7,8.4,5745.1,167.9,184.5,-6.91006517,34.19247818,6,top,Tanzania,False
icr024957,179.0,109.0,989.0,3.22,7.0,5.34,83.76,8.42,7.815,1.225,0.119022,0.0,47.27744,0.259110369,5.58,200.0,0.34,1001.965134,61.33266381,50.6,25459.2,45.7,1254.2,5575.0,6.4,103.2,10.9,8398.5,141.2,184.5,-6.91006517,34.19247818,6,sub,Tanzania,False
icr024976,485.0,80.0,457.0,14.39,4.0,6.21,90.19,5.565,4.245,1.2670000000000001,0.096845,0.0,218.30578,0.636594594,6.48,400.0,0.7,820.18870175,77.006852625,50.6,7645.6,45.7,624.2,5575.0,3.5,180.9,4.6,2924.1,90.7,184.5,-6.87918282,34.19307327,7,top,Tanzania,False
icr024977,206.0,57.0,471.0,8.18,4.0,5.74,89.685,5.305,5.01,1.311,0.073885,0.0,85.63004000000001,0.240249872,6.12,200.0,0.32,953.8832247000001,63.61793422,50.6,7043.0,45.7,335.9,5575.0,3.5,117.6,4.8,2846.2,62.1,184.5,-6.87918282,34.19307327,7,sub,Tanzania,False
icr024994,324.0,124.0,766.0,6.2,6.0,6.16,84.055,7.665,8.28,1.1625,0.132916,0.0,189.24884999999998,0.609009117,6.3,400.0,0.65,1430.3015990000001,114.7253659,50.6,27536.9,45.7,1239.1,5575.0,3.7,32.3,8.5,6003.3,153.5,184.5,-6.859828,34.19452667,8,top,Tanzania,False
icr024995,126.0,130.0,774.0,2.43,4.0,5.67,82.835,8.51,8.65,1.177,0.12491500000000001,1.4285709999999998,34.58266,0.24899565399999998,5.82,200.0,0.33,1587.365787,85.78034911,50.6,28764.1,45.7,825.0,5575.0,5.6,49.5,10.4,8567.4,122.0,184.5,-6.859828,34.19452667,8,sub,Tanzania,False
icr025016,566.0,94.0,495.0,6.99,6.0,5.33,95.44,2.53,2.03,1.058,0.075304,0.0,299.94149,0.530224085,5.61,500.0,0.67,513.257278,34.42983852,50.6,3750.8,45.7,684.2,5575.0,4.2,75.7,4.7,3352.2,35.3,184.5,-6.90416813,34.21570587,10,top,Tanzania,False
icr025056,165.0,55.0,416.0,3.36,3.0,6.2,91.025,5.025,3.945,1.2535,0.12260499999999999,0.0,76.36301999999999,0.19336348,6.41,200.0,0.26,753.577813033333,72.9196656,50.6,25738.6,45.7,330.3,5575.0,1.9,203.2,6.3,3336.9,117.6,184.5,-6.85391283,34.21279907,12,sub,Tanzania,False
icr025112,408.0,71.0,620.0,3.51,3.0,6.31,83.25,9.63,7.12,1.2085,0.135427,0.0,41.35351,0.28911276199999997,6.37,200.0,0.36,588.288627333333,44.44789081,50.6,17106.5,45.7,1900.9,5575.0,3.1,135.5,7.8,4624.2,77.7,184.5,-6.87730789,34.24555969,15,sub,Tanzania,False
icr030043,5333.98,785.84,994.9,68.39,14.228,6.5,92.78,5.505,1.715,0.7865,0.125749,11.428571,3692.1948200000006,6.984866142,6.59,3700.0,7.24,3725.0429759999997,1876.343095,1163.0,6757.0,75.1,11879.1,5575.0,23.1,81.7,61.5,72361.0,2084.9,184.5,8.60079002,34.98501205,2,top,Ethiopia,True
icr030063,8755.98,986.24,704.2,221.8,20.178,7.3729999999999976,92.195,6.07,1.74,0.6459999999999999,0.114649,13.571429,4725.44476,7.943575621,7.2,5000.0,8.67,3285.20481,2998.841715,1650.7,6684.3,83.8,18326.4,5575.0,27.5,102.6,90.8,68787.4,1476.6,184.5,8.6298523,34.98375702,3,top,Ethiopia,True
icr030083,5434.98,428.14,970.1,12.5,15.548,6.432,96.79,2.215,0.99,0.664,0.085944,10.714286,3854.19786,7.233982086,6.44,4000.0,7.83,2108.4874489999997,1058.29,807.1,5067.4,84.0,11240.4,5575.0,23.3,74.2,63.1,83850.8,2051.1,184.5,8.65487957,34.98785019,4,top,Ethiopia,True
icr030123,1564.98,300.14,1066.0,15.52,11.398,6.312,94.695,3.715,1.595,0.9059999999999999,0.107235,6.428571,1245.8533400000001,1.684205294,6.44,1300.0,1.85,3809.847432,233.28020669999998,50.6,28133.9,45.7,4405.9,5575.0,10.0,100.2,25.5,20895.5,447.9,184.5,8.59928799,35.00059891,6,top,Ethiopia,True
icr030124,908.48,145.44,1414.0,4.314,11.698,5.706,95.825,2.865,1.315,0.9009999999999999,0.093669,5.714286,802.9731700000001,1.1525979640000001,5.85,800.0,1.2,4008.8958505,166.17589375,50.6,26561.5,45.7,4096.9,5575.0,10.8,79.1,27.3,23036.2,469.9,184.5,8.59928799,35.00059891,6,sub,Ethiopia,True
icr030144,2703.98,129.64,1417.0,2.5340000000000003,8.234,5.721,97.395,1.635,0.97,0.7535,0.107557,12.857142999999999,1682.19447,2.621890068,5.79,1700.0000000000002,2.68,1476.973161,488.5603754,231.0,8725.7,45.7,3739.1,5575.0,14.7,66.5,62.7,55973.2,1512.1,184.5,8.62714481,35.00778198,7,sub,Ethiopia,True
icr030277,2083.98,86.67,1465.0,1.061,6.904,6.2410000000000005,94.505,4.165,1.33,0.9945,0.149834,9.285714,1260.77831,1.5323621630000002,5.84,1100.0,1.64,6325.910371,193.8385075,231.6,10379.7,45.7,26931.2,5894.7,49.1,329.9,57.5,54968.8,1041.2,184.5,8.603079800000001,35.04847336,14,sub,Ethiopia,False
