SSN,pH,%N,%C,C % Inorg  ,C % Org,Am Ox_Al mg/kg,Am Ox-Fe mg/kg,AmOx-Mn/mg/kg,AmOx-Pmg/kg, Olsen P mg/kg,pbi no units,Caex cmolc/ kg soil,Kex cmolc/ kg soil,Mgex cmolc/ kg soil,Naex cmolc/ kg soil,ECEC cmolc/ kg soil,ICP OES Al mg/kg ,ICP OES Ca mg/kg ,ICP OES Co mg/kg ,ICP OES Cr mg/kg ,ICP OES Cu mg/kg ,ICP OES Fe mg/kg ,ICP OES K mg/kg ,ICP OES Mg mg/kg ,ICP OES Mn mg/kg ,ICP OES Na mg/kg ,ICP OES Ni mg/kg ,ICP OES P mg/kg ,ICP OES Pb mg/kg ,ICP OES S mg/kg ,ICP OES Zn mg/kg ,ICPMS As 75 mg/kg,ICP MS Se 78 mg/kg,ICP MS Mo 95 mg/kg,ICP MS Cd 114 mg/kg,P,K,S,Ca,Mg,Cu,Zn,Fe,Mn,Mo,Public,Latitude,Longitude,Cluster,Plot,Depth,Cultivated
icr006570,6.5,0.06,0.62,0.0,0.62,1170.3773724769999,757.5373696255,135.06921519600002,28.1833073175,2.08,58.7,5.14,1.1094451792141,1.9966285821474297,0.08972410967507999,8.31008635499745,24593.66345,828.1173073,5.947934908,71.34760691,9.624795776000001,14715.763019999999,2434.413016,1184.687778,215.61614480000003,62.48527525,22.66358872,115.2061061,3.4073293419999997,72.25487245,16.87644943,0.526020363294155,0.29580234830132696,0.191794792134176,0.020168219303818,0.00506,1.2201600000000001,0.00457,0.17901,0.5575,0.0007700000000000001,0.00134,0.91351,0.01326,0.01845,True,-6.06997013,36.46458817,7,2,top,False
icr006571,6.3,0.05,0.48,0.0,0.48,1324.435796477,815.2335812255002,121.814701196,20.1218922475,1.14,50.93,5.45,0.873748598544353,2.06543193125255,0.06350762568900499,8.95603899372137,28723.36905,872.7563782999997,6.07655824,74.62037791,10.15959026,16612.124480000002,2639.671114,1321.301426,208.29126259999998,56.62620111,24.74044007,111.4415085,3.386542218,58.01415906,18.94616509,0.5653381010189791,0.30785116224896697,0.235451998019276,0.016195395698751003,0.00506,1.3012299999999999,0.00457,0.23006,0.5575,0.00106,0.00185,1.36954,0.01732,0.01845,True,-6.06997013,36.46458817,7,2,sub,False
icr006586,7.06,0.11,1.09,0.0,1.09,2552.182083477,2287.3465640255,467.572767596,84.0709361775,6.94,83.27,9.14,2.25515409903926,4.9529087549513795,0.069157468247752,17.1027310894281,55026.39041,2452.836902,17.80954714,123.2415541,26.36134474,37372.2508,9379.867053,6286.142896,698.8539867000003,138.570743,56.01312732,230.5939613,5.384431823,125.51601389999999,55.60641161,0.558422841945508,0.560641189907409,0.046705568225562995,0.054947636445312996,0.00506,1.51735,0.00457,0.9301,0.55191,0.0018399999999999998,0.00385,2.4094599999999997,0.04224,0.01845,True,-6.05574989,36.45772171,8,1,top,False
icr006626,5.89,0.04,0.43,0.0,0.43,1236.9213694769999,1063.4751580255,115.135958996,41.4802830575,2.06,32.31,1.21,0.614972379117933,0.746999368899129,0.018092521328692,3.06970414220261,23627.06109,397.47397010000003,6.8961885789999995,62.2009199,9.013397723999999,15834.72306,2003.258263,1348.270189,172.66402250000004,85.25691307,18.71272496,131.62831129999998,2.9393596260000003,51.52199873,18.90861025,0.50383640838677,0.413680278153214,0.104857028068594,0.013650260989818001,0.00506,1.6345399999999999,0.00457,0.67235,0.5575,0.0007599999999999999,0.00164,1.09165,0.01201,0.01845,True,-6.09622,36.4863,10,1,top,False
icr006627,5.56,0.04,0.38,0.0,0.38,1078.254559477,1034.7104600255,100.067652826,45.1840023875,1.45,41.89,2.25,0.69456777738333,1.20482111520647,0.055718277299101,3.5079503325980004,31673.939730000002,508.1626957,7.27139678,76.23573365,10.33779343,19817.81373,2283.9153100000008,1568.793042,169.361227,72.82815436,23.4536465,142.7728868,3.159226305,45.17643317,21.31621846,0.5662391168519,0.464030861915247,0.065992186383881,0.011951897771256,0.00506,1.44646,0.00457,0.59615,0.5575,0.00107,0.00225,1.59341,0.013569999999999999,0.01845,True,-6.09622,36.4863,10,1,sub,False
icr006684,6.59,0.07,0.7,0.0,0.7,1154.643497477,1238.4494090255,260.408532396,31.3092715875,1.84,43.58,2.81,0.770896889646524,1.85846861012521,0.019969895545402003,8.067466534871889,31202.56878,944.5066357999999,12.57863449,66.00703175,17.26653002,24094.01443000001,2126.131284,1495.455388,368.36904,104.19002929999999,24.7574152,158.10198480000003,3.158400025,71.67024384,20.39536891,0.368883527406029,0.503793441906472,0.086236165655771,0.029569113009624,0.00506,0.9897100000000001,0.00457,0.75652,0.5575,0.00119,0.0017399999999999998,1.5419,0.02529,0.01845,True,-6.12214,36.5064,13,1,top,False
icr006704,6.58,0.07,0.67,0.0,0.67,1456.6329774770002,1698.8211340255,291.809912996,54.0546954675,2.72,43.15,2.87,0.9098679617903248,1.5660016691665601,0.08398961106759499,6.10002008654336,30332.33133,1152.21787,11.0976716,67.63313334,13.40828037,25799.14574,3269.795999,2298.8723489999998,444.93113660000006,168.7628061,27.43158394,168.28680119999999,4.522059007,75.99660226,31.68477942,0.502240023562441,0.6363549716676751,0.06890840798027299,0.04075341532390701,0.00506,1.4261700000000002,0.00457,0.76446,0.5575,0.00112,0.00221,1.67813,0.025660000000000002,0.01845,True,-6.09060001,36.50844955,14,1,top,False
icr006705,6.39,0.06,0.5,0.0,0.5,1546.861712477,1889.5409490255,259.548870396,56.7143386675,2.0,59.35,4.08,0.8092498494938829,1.9139608232500904,0.03858609977081502,5.5313311573052895,42557.5795,1143.62923,11.59763636,77.24774274,16.02389759,33296.99345,3889.920533,2545.550727,417.22335760000004,113.0119767,33.68108278,171.33682199999996,4.60398192,56.72458323,37.62366237,0.560045784234942,0.67979148666821,0.052669476394488005,0.032207046639263,0.00506,1.2276799999999999,0.00457,0.6175,0.5575,0.00131,0.0027199999999999998,2.27414,0.024919999999999998,0.01845,True,-6.09060001,36.50844955,14,1,sub,False
icr006725,4.84,0.05,0.45,0.0,0.45,2267.8591844770003,1215.4769640255001,83.05911265600001,22.0815081575,1.4,77.22,1.53,0.611474494043646,0.9421782357989441,0.036976072164201006,6.418436645172241,50682.28998,367.1230612,7.822720117,106.6051672,19.74741326,19134.92962,1727.427579,734.1689917,145.5699334,47.48788573,40.73230313,131.552151,2.6281297919999997,74.73388578,22.85902758,0.5149514210738471,0.5084400089168211,0.147238929946504,0.004192356640746,0.00506,0.81376,0.00457,0.09129,0.5575,0.0015,0.00172,1.28777,0.0081,0.01845,True,-6.07987,36.5067,15,1,sub,False
icr006745,4.98,0.03,0.28,0.0,0.28,1302.162651477,553.6599458255,33.049969106,10.6994029675,1.04,34.37,0.38,0.25898008175462,0.28200409632146994,0.017321593678561,2.81486309689462,20520.86263,149.8000043,3.806526607,53.11455384,4.257350357,9325.204434000001,1305.26152,813.941494,60.90704654,63.73039173,15.32659546,63.20804009,2.651712255,32.15130153,12.68387545,0.21311624770200305,0.303343456620939,0.080901792264276,0.001916349829778,0.00506,2.66265,0.00457,0.35803,0.5575,0.00044,0.00115,0.7165100000000001,0.00495,0.01845,True,-6.0537300000000025,36.5135,16,1,sub,False
icr007851,5.58,0.01,0.18,0.0,0.18,293.235283677,168.9973706255,5.743586717,12.6595234975,4.24,20.71,0.05,0.041627909102612,0.11054902653336099,0.010807780101538,2.5710800322416403,2763.55531,117.3851545,0.780637288,2.369481274,0.5373871441,2064.7629030000007,433.3812056,245.6881242,15.4159206,70.67296712,0.9239124376000001,51.60862309,0.9941452942,8.041167866,3.400756578,0.064571915246928,0.10992013246543801,0.025131611314489998,0.000436195004203,0.00506,2.18329,0.00457,0.4746,0.5575,0.00018,0.0010199999999999999,0.37295,0.00351,0.01845,True,-5.33592987,37.46857452,7,1,sub,False
icr007987,6.16,0.08,0.92,0.0,0.92,3099.311156477,1945.2689660254998,110.644770996,46.4505406475,1.38,90.9,4.82,0.896931300605568,3.6374247788147795,0.033354399936176005,5.0660620583743485,61243.246179999995,1032.327734,14.66908752,68.41049366,12.91027509,33788.55584,3328.323756,2536.698409,209.95242280000002,94.32584334,39.73352558,256.7188402,9.255615244,125.6833741,30.93802417,0.8929774744668101,0.950586673747655,0.074859809250978,0.009029607056441999,0.00506,1.31174,0.00457,0.37627,0.5575,0.00131,0.00252,2.66759,0.01648,0.01845,True,-5.35679007,37.50985718,14,1,top,True
icr010019,,0.1,2.05,0.0,2.05,7139.759637476999,4468.6199930255,1089.444264396,122.7655483475,1.72,402.3,0.07,0.025701211343375004,0.076100322381952,0.005321823373948,3.50557803665366,73919.50604,128.872346,30.0660201,48.08451583,45.14598226,78300.97252000001,154.3447351,226.08259339999998,1514.867037,25.73696964,46.65226891,462.2767796,24.48049101,43.04618303,41.33842954,0.81737480925444,1.5758803620325903,0.071961641940113,-0.000145292120438,0.02512,0.04289,0.00457,0.01192,0.5575,0.00359,0.0039299999999999995,5.7186,0.09805,0.01845,True,-11.10610008,35.14979935,6,1,sub,False
icr020848,5.71,0.03,0.56,0.0,0.56,246.822308477,578.5172191255,35.834008146,8.7571693375,3.06,16.39,0.87,0.088410335167173,0.265389035716656,0.046928746024079,-0.022132272187348,3158.23189,211.3720662,0.8114651329000001,3.8960275560000004,1.16137158,2387.935748,134.2828221,98.22598857,47.29217252,19.87970822,0.9962047920999999,37.36011225,26.25897314,19.82124376,6.679073172000001,0.101255482183631,0.11978609097345899,0.063288241821123,0.013512782481087,0.00506,0.63075,0.00457,0.05027,0.5575,0.00032,0.00031,0.29212,0.00549,0.01845,True,-8.07403278,37.26938248,1,1,top,False
icr020888,5.12,0.05,0.87,0.0,0.87,884.72749711,1158.124517732,11.0527328006,-20.428534385,3.7,29.51,0.76,0.139649252177205,0.342501868658301,0.069722906231506,1.7338017715934,9685.251705,210.9394496,0.7577064752,10.8764936,3.716366303,4115.578866,299.7725549,144.4636586,16.65286688,49.66340495,3.10105088,61.85967618,4.068729471,31.12710258,5.613783227000001,0.14058403769964098,0.184028486095288,0.047037074572760004,-2.52938492441405e-05,0.00506,1.56324,0.00457,0.1072,0.5575,0.00037999999999999997,0.00033,0.29236,0.0018399999999999998,0.01845,True,-8.02105045,37.27035141,3,1,top,False
icr020889,4.74,0.04,0.46,0.0,0.46,1859.04173271,1634.8131037320002,6.0150230846,-29.463083115,1.04,42.02,1.12,0.09460112292350302,0.555301324243571,0.09119850275021801,0.44734646529779204,23533.29221,267.1078359,1.507106588,24.04892259,6.78796595,8395.61062,359.43102210000006,281.7861751000001,14.32475479,53.26787538,6.840568135,83.72392379,7.6599266089999976,18.99345474,7.529242904,0.209617273593762,0.26457435540315605,0.05186400513081599,-0.0014019788145170002,0.00506,1.0602,0.00457,0.07334,0.5575,0.00063,0.00054,0.62603,0.00116,0.01845,True,-8.02105045,37.27035141,3,1,sub,False
icr020909,6.09,0.03,0.42,0.0,0.42,2344.41355671,909.243655432,233.5580825906,3.4934575580000002,2.62,31.85,1.64,0.133963050424187,0.512377019779469,0.009795476483899,0.21398342440182,21719.005595,354.11673199999996,6.1431529725,15.737382765,4.8880180965,10147.585355,988.2802042999999,490.05487285,301.3426076,52.65102621,6.966946496,143.8709494,5.6537717235,29.538235975,10.316307457999999,0.39259350879373706,0.3932076604564361,0.097006874820405,0.002442583091511,0.00506,3.0645,0.00457,0.08054,0.5575,0.00044,0.00066,0.65951,0.017740000000000002,0.01845,True,-8.00080681,37.27236938,4,1,sub,False
icr020947,5.67,0.04,0.71,0.0,0.71,352.76738531,581.946645732,65.71326037060001,-10.828109025,5.24,19.41,1.24,0.146466349339997,0.421942008711788,0.020164028111401,1.3243268997114999,4842.69664,284.856633,1.388587104,6.9260614910000005,2.300300676,3084.709202,253.39348650000002,139.6641755,81.78518083,26.57886935,1.899798562,51.90749523,3.318572698,34.280866700000004,3.0848230310000004,0.082947917679,0.11413138544554301,0.09928566595997,-9.480846148157092e-05,0.00506,2.07885,0.00457,0.09514,0.5575,0.00023999999999999998,0.00022999999999999998,0.23359000000000002,0.00648,0.01845,True,-8.04761505,37.295681,6,1,top,False
icr020970,6.62,0.06,1.08,0.0,1.08,702.12205121,588.993177632,210.56994119060002,37.658737455,3.98,18.52,3.86,0.14904388115084302,0.8423994097403829,0.017942844743255002,5.46513667062615,5666.663354,1012.759998,3.42314471,8.560621422999999,3.4829534730000002,7531.259311,831.2324995,353.53723239999994,275.08819680000005,88.51049277,2.698122948,167.6637491,2.038582769,53.57650615,9.06264631,0.19875425456787896,0.23210390752461801,0.11826589684819902,0.0046856911742629995,0.00506,5.35268,0.00457,0.19813,0.5575,0.0003,0.00053,0.43631000000000003,0.015280000000000002,0.01845,True,-8.02381229,37.29229736,7,3,top,False
icr020971,6.61,0.02,0.3,0.0,0.3,721.10761941,437.450635832,111.69057749059999,5.374481609,2.88,11.75,1.56,0.06476697601686,0.254058787975314,0.014496873141863001,1.3516115459019,6383.68702,416.1488546,3.98772115,9.896736653,3.085073296,8127.205287999999,925.0971179,283.7387537,208.3822521,157.6308334,2.890083362,113.0850178,2.209629423,18.26852456,6.223780147,0.19807719125906686,0.251394062260986,0.06823356269248901,0.00204025245257,0.00506,5.57114,0.00457,0.11995,0.5575,0.00022,0.00032,0.37283,0.00909,0.01845,True,-8.02381229,37.29229736,7,3,sub,False
icr020986,6.54,0.04,0.66,0.0,0.66,501.87526579999997,340.5647241715,137.44843669999997,6.816126583,2.96,7.73,2.48,0.09347987400986801,0.407858614076116,0.019268182036554,0.609467547938236,3936.0925645,551.9394606000002,1.3539287115,6.9538489575,2.207016318,3347.4106205,558.2958219999998,137.21669640000002,165.7681467,51.273351675,1.737149581,119.59212995,1.3600039995,39.04637958,4.4444083825,0.103053295381752,0.123715783587994,0.09340673263758699,0.00391080272482,0.00506,3.08758,0.00457,0.09609,0.5575,0.0002,0.00029,0.18106,0.009559999999999999,0.01845,True,-8.00173283,37.29563904,8,1,top,False
icr021005,6.21,0.03,0.48,0.0,0.48,1296.571184,1113.8612364715,247.47275269999997,-27.21141708,0.56,27.59,1.55,0.199514721407325,0.9263929431442092,0.044993777754568996,4.75769909384015,13680.292430000001,387.27428169999996,8.764839734,30.15406185,6.06773209,15841.95845,660.4161283,491.4665277,322.0697739,58.32427638,8.601025146,89.35255216,5.192369208,28.35339972,10.85664885,0.437793200256221,0.491586616070702,0.14219041581566,0.006882046200556999,0.00506,3.48615,0.00457,0.052579999999999995,0.5575,0.00064,0.0007599999999999999,1.0068,0.01962,0.01845,True,-8.06768513,37.31658554,9,1,sub,False
icr021063,6.49,0.07,1.13,0.0,1.13,1164.983,801.7560000000003,292.725,50.805,3.08,19.89,4.0,0.225626001846628,0.919835248184324,0.022454876013925002,3.9773994298320003,9208.371976999999,814.6217892000003,5.24555025,34.64396970000001,4.889943977,12587.01489,740.9750094,416.8201127,364.7154401,52.82044381,5.166506861,125.68742890000001,5.060863694,50.77008753,8.294999792999999,0.13686648842008098,0.28857725207166696,0.17010700979993398,0.004939981450897,0.00506,1.21435,0.00457,0.10461,0.5575,0.00058,0.0006,0.77623,0.023969999999999998,0.01845,True,-8.00514507,37.31461716,12,1,top,False
icr021064,6.69,0.03,0.42,0.0,0.42,528.969,410.708,272.564,23.12,0.82,16.96,1.28,0.08521190946921,0.326611789142975,-0.001385716797215,-0.058272584422204,6496.622884,338.2330065,5.213394491,41.18252837,3.9041586010000002,12934.32179,363.5358848,211.7636125,339.7799183,32.544182025,4.249132452,77.31525407,4.694279376,17.67072455,4.9400577605,0.13247923625674402,0.24224810622587198,0.155623244320225,0.002420381422533,0.00506,1.07925,0.00457,0.0627,0.5575,0.0005200000000000001,0.00045,0.74435,0.022930000000000002,0.01845,True,-8.00514507,37.31461716,12,1,sub,False
icr021084,4.95,0.02,0.21,0.0,0.21,673.66,505.894,1.224,27.038,1.48,18.16,0.28,0.049989535033492995,0.0398150725036,0.07135927586597,-1.11279827761751,4489.117657,67.88522682,0.6962738961,7.572867755,1.0053724259999999,2697.2667469999997,103.2963749,61.33475412,7.936133197,39.49304113,1.360898657,40.20369494,2.649833804,5.335067521,0.941859717,-0.005389504199596999,0.06468014836592201,0.062681917983282,-0.006449626042984,0.00506,0.15231,0.00457,0.02537,0.5575,0.00027,0.00037,0.18807000000000001,0.00118,0.01845,True,-8.07075501,37.33062744,13,1,sub,False
icr021103,5.75,0.04,0.57,0.0,0.57,392.506,411.586,26.611,29.066999999999997,3.78,10.92,1.16,0.172675905090503,0.419574439498046,0.102937992515231,5.18476984388258,4725.154752,340.1965452,0.9697189079999999,7.835848221,1.719931273,3043.832286,263.3681413,146.32310080000005,35.44300979,43.73912177,2.4580626519999997,44.89277172,9.081746667,25.42947384,3.3816664960000002,0.122131217121232,0.128815528242235,0.096586219325886,0.003508518506821,0.00506,0.95147,0.00457,0.14339000000000002,0.5575,0.0003,0.00022,0.23738,0.00301,0.01845,True,-8.04930496,37.33369827,14,1,top,False
icr021104,5.27,0.02,0.25,0.0,0.25,861.3610000000001,448.62300000000016,6.407,14.376,1.52,13.13,0.71,0.14347042055536902,0.2319774204484669,0.17801633202785,4.76746638214832,5545.705929,178.886448,0.9465005515,6.4903375379999995,1.6207282509999998,3188.7921899999997,272.8821309,108.8322524,11.73111129,60.05917262,1.623243889,29.28125586,2.45459455,10.32076416,2.8267780869999997,0.053437607103728,0.14050802735481302,0.0681761528606,-0.005376472073495,0.00506,0.68389,0.00457,0.08843,0.5575,0.00028,0.00022999999999999998,0.22134,0.00132,0.01845,True,-8.04930496,37.33369827,14,1,sub,False
icr021123,6.52,0.03,0.59,0.0,0.59,202.292,375.163,150.5,41.106,2.94,8.44,2.59,0.147863041871386,0.6828086298292529,0.11079581244560499,6.8324362684541,2580.5894399999997,603.244082,1.664380627,13.91624463,2.124041666,4091.865959,268.33944219999995,311.2008126,175.4129032,46.29267133,2.2438215440000002,87.05100076,1.659611045,29.96399322,5.912813793,0.048410632840119004,0.154458538367759,0.105211156999998,0.011161827614373001,0.00506,0.7629,0.00457,0.12747999999999998,0.5575,0.00031,0.00041,0.28133,0.01172,0.01845,True,-8.02354813,37.33749771,15,1,top,False
icr024869,6.2,0.03,0.47,0.0,0.47,1043.3,371.223,81.332,15.73,0.96,19.44,0.89,0.21373124821283804,0.647328347253652,0.055983703899042996,3.06992604955032,13942.1273,272.8226974,5.4725330460000015,41.23749399,4.719209762,7510.1680849999975,1021.3434699999999,651.4910077000002,136.03740919999998,47.75218989,11.539079899999999,95.15154002,12.07536158,23.26130484,9.956583224,1.0371735918796299,1.02499575800955,0.10031235970731599,0.009519914858655,0.00506,2.9777099999999996,0.00457,0.09307,0.5575,0.00037999999999999997,0.00075,0.49345,0.00945,0.01845,True,-6.92843294,34.1724205,1,3,sub,False
icr024994,6.3,0.04,0.65,0.0,0.65,1013.89,393.158,156.26,23.638,1.1,23.24,1.22,0.21538571370110696,0.592886096358774,0.059839249695386995,3.20824158662821,16473.91594,375.81009720000003,4.907705021,28.68050877,5.416790897,9068.908791,1430.3015990000001,725.7678667,233.7601964,40.0942928,9.903196021,114.7253659,11.55484546,34.95673273,13.22050724,1.73035925886798,1.14132632879297,0.356251915096125,0.025410474781711004,0.00506,2.75369,0.00457,0.12390999999999999,0.5575,0.00037,0.00085,0.60033,0.01535,0.01845,True,-6.859828,34.19452667,8,3,top,False
icr025016,5.61,0.05,0.67,0.0,0.67,758.357,566.743,28.653000000000002,21.475,2.28,27.81,2.29,0.18158562331354602,1.6314045292738102,0.07611115722367301,6.65762652808417,11235.31967,561.12050195,3.8490101544999997,14.55024892,4.8803385194999995,5039.0597179999995,513.257278,752.34085355,50.996610165,39.405037545,10.39048211,34.42983852,5.2817694245,41.142042625,6.8991712465,1.74321271275192,0.327732336828875,0.070513824456397,0.016803005223617,0.00506,0.37508,0.00457,0.06842000000000001,0.5575,0.00042,0.00047000000000000004,0.33521999999999996,0.0035299999999999997,0.01845,True,-6.90416813,34.21570587,10,1,top,False
icr024918,6.14,0.01,0.18,0.0,0.18,367.616,259.337,15.728,16.692999999999998,0.44,9.06,0.39,0.067814479197305,0.253458324953713,0.07441854328981701,1.4393614372984902,4723.955048,333.57587939999996,1.053707161,7.040037798999999,1.611634698,3220.22252,395.3065328,201.0682998,33.72994934,97.45725341,2.274091732,15.4507086,3.305352023,18.91276369,3.84547287,0.910184875462558,0.160160495002548,0.054162762723623005,0.008430259227586,0.00506,4.908,0.00457,0.62653,0.5575,0.00037,0.00044,0.38388,0.00402,0.01845,True,-6.86510992,34.18169403,4,1,sub,False
